Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2010,72000,1,1,1,26.6,998,58.16,5,1.75
2015,41000,0,1,1,19.67,1582,126.2,5,12.5
2011,46000,1,1,1,18.2,1199,88.7,5,4.5
2012,87000,0,1,1,20.77,1248,88.76,7,6
2013,40670,0,0,0,15.2,1968,140.8,5,17.74
2012,75000,1,1,1,21.1,814,55.2,5,2.35
2013,86999,0,1,1,23.08,1461,63.1,5,3.5
2016,36000,0,0,1,11.36,2755,171.5,8,17.5
2013,64430,0,1,1,20.54,1598,103.6,5,5.2
2012,65932,0,1,0,22.3,1248,74,5,1.95
2018,25692,1,1,1,21.56,1462,103.25,5,9.95
2012,60000,1,0,1,16.8,1497,116.3,5,4.49
2015,64424,0,1,1,25.2,1248,74,5,5.6
2014,72000,0,0,1,12.7,2179,187.7,5,27
2012,85000,0,0,0,0,2179,115,5,17.5
2014,110000,0,1,1,13.5,2477,175.56,7,15
2016,58950,0,1,1,25.8,1498,98.6,5,5.4
2017,25000,0,1,1,28.4,1248,74,5,5.99
2014,77469,0,1,1,20.45,1461,83.8,5,6.34
2014,78500,0,0,1,14.84,2143,167.62,5,28
2014,32982,0,0,1,22.69,1995,190,5,18.55
2015,55392,0,1,0,23.65,1248,88.5,5,8.25
2015,55985,1,0,1,13.53,1984,177.01,5,23.5
2010,45807,1,1,1,18.5,1197,80,5,1.87
2010,33000,1,0,1,14.4,1598,103.6,5,2.85
2012,51920,1,1,1,16.8,1497,116.3,5,4.25
2012,54000,0,1,1,23.08,1461,63.1,5,4.25
2013,54000,1,1,0,20.92,998,67.1,5,2.75
2018,37430,1,1,1,17.5,1199,88.7,5,9.9
2007,262000,0,1,0,12.8,2494,102,7,4
2013,62000,0,1,1,19.01,1461,108.45,5,7.75
2012,87615,1,1,1,14.53,1798,138.1,5,6.75
2013,72000,0,0,0,11.18,2696,184,7,12.5
2010,35000,0,0,1,12.4,2698,179.5,5,11.5
2014,55431,1,1,0,16.09,1598,103.5,5,6.98
2009,83816,1,1,0,14,1061,64,5,1.85
2018,50075,0,1,1,24.3,1248,88.5,5,8.63
2017,52000,1,1,1,18.15,1198,82,5,4.85
2013,85000,0,0,1,11.74,2987,254.8,5,28
2013,62000,0,1,1,22.07,1199,73.9,5,5
2008,90000,1,1,0,19.7,796,46.3,5,1.25
2014,19698,1,1,1,25.4,624,37.5,4,1.53
2017,22033,0,1,1,25.32,1198,77,6,5.58
2014,35487,1,1,1,18.5,1197,82.9,5,4.74
2014,46374,1,0,1,14.62,1999,149.92,5,8.85
2016,52001,1,0,1,14.28,1798,138.03,5,10.11
